company,color,r,g,b
dior,dior,/dior/makeup/lepper/leppestifter/dior-dior-addict-refill-shine-lipstick-90-natural-origin-329-tie-Lipstick,dior,196,109,105
dior,dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-couture-colour-refillable-lipstick-743-rouge-zinnia,191,25,42
dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-couture-colour-refillable-lipstick-644-sydney,183,62,66
dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-couture-colour-refillable-lipstick-999-velvet,203,5,9
dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-couture-colour-refillable-lipstick-525-cherie,228,90,80
dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-forever-lipstick-999-forever-Lipstick,dior,219,47,43
dior,/dior/makeup/lepper/leppestifter/dior-dior-addict-shine-lipstick-90-natural-origin-refillable-329-tie-Lipstick,dior,196,109,105
dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-couture-color-lipstick-refill-683-rendez-vous,202,95,94
dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-forever-liquid-lipstick-100-forever-nude,179,119,111
dior,dior,/dior/makeup/lepper/leppestifter/dior-dior-addict-refill-shine-lipstick-90-natural-origin-418-beige-oblique,180,99,94
dior,dior,/dior/makeup/lepper/leppestifter/dior-dior-addict-refill-shine-lipstick-90-natural-origin-422-rose-des-vents,192,110,110
dior,dior,/dior/makeup/lepper/leppestifter/dior-dior-addict-refill-shine-lipstick-90-natural-origin-976-be-Lipstick,dior,196,33,48
dior,/dior/makeup/lepper/leppestifter/dior-dior-addict-lip-tint-351-natural-nude,211,79,105
dior,/dior/makeup/lepper/leppestifter/dior-dior-addict-lip-tint-541-natural-sienna,193,65,57
dior,/dior/makeup/lepper/leppestifter/dior-dior-addict-lip-tint-491-natural-rosewood,157,56,74
dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-forever-liquid-lipstick-999-forever-Lipstick,dior,166,27,25
dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-forever-liquid-lipstick-558-forever-grace,167,87,91
dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-forever-liquid-lipstick-300-forever-nude-style,161,95,90
dior,/dior/makeup/lepper/leppestifter/dior-dior-addict-lip-tint-771-natural-berry,143,33,41
dior,dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-forever-lipstick-883-forever-daring,135,44,57
dior,dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-forever-lipstick-100-forever-nude-look,212,142,127
dior,dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-forever-lipstick-742-forever-sisterhood,215,30,45
dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-couture-color-lipstick-refill-964-ambitious,164,78,83
dior,/dior/makeup/lepper/leppestifter/dior-rouge-dior-couture-color-lipstick-refill-277-osee,222,122,139
